
18;14;13;22;36;21;13;14;13;15
5;5;6;5;11;5;3;7;5;3
1;3;2;1;2;4;1;3;1;0
1;3;1;3;0;1;1;0;1;1
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
